,종목코드,종목명,현재가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,시가총액비중(%),상장주식수
,000020,동화약품,"19,850","-1,150","-5.5","21,500","21,500","19,700","3,089,628","63,039,645,200","554,439,679,500","0.03","27,931,470"
,000040,KR모터스,"1,175","40","3.5","1,120","1,250","1,115","10,603,805","12,474,128,855","107,701,696,150","0.01","91,661,018"
,000050,경방,"11,450","-250","-2.1","11,800","12,050","11,450","59,205","690,556,450","313,904,841,500","0.01","27,415,270"
,000060,메리츠화재,"15,250","-250","-1.6","15,550","15,600","15,250","316,662","4,884,024,050","1,733,620,000,000","0.08","113,680,000"
,000070,삼양홀딩스,"65,000","-1,500","-2.3","66,300","67,100","64,700","25,520","1,672,969,200","556,677,615,000","0.03","8,564,271"
,000075,삼양홀딩스우,"48,000","-150","-0.3","48,000","48,300","48,000","742","35,643,850","14,594,784,000","0.00","304,058"
,000080,하이트진로,"32,650","-300","-0.9","33,150","33,650","32,500","642,252","21,143,530,450","2,289,862,399,150","0.11","70,133,611"
,000087,하이트진로2우B,"20,850","50","0.2","20,900","21,250","20,850","30,378","637,655,150","23,563,377,300","0.00","1,130,138"
,000100,유한양행,"64,300","-1,500","-2.3","65,800","65,800","64,000","514,164","33,319,062,000","4,298,892,883,000","0.20","66,856,810"
,000105,유한양행우,"64,300","-1,000","-1.5","64,900","65,000","64,000","10,996","708,546,900","75,934,442,000","0.00","1,180,940"
,000120,CJ대한통운,"163,500","-2,000","-1.2","165,500","166,000","162,500","94,025","15,382,989,500","3,729,818,244,000","0.17","22,812,344"
,000140,하이트진로홀딩스,"15,500","350","2.3","15,200","15,700","15,000","39,663","612,115,850","359,704,857,500","0.02","23,206,765"
,000145,하이트진로홀딩스우,"15,350","-150","-1.0","15,550","15,550","15,350","579","8,967,000","7,226,933,500","0.00","470,810"
,000150,두산,"53,200","-100","-0.2","52,900","55,100","51,900","326,698","17,520,993,800","879,068,022,000","0.04","16,523,835"
,000155,두산우,"42,300","-200","-0.5","42,700","42,950","41,550","35,205","1,493,552,850","169,050,342,600","0.01","3,996,462"
,000157,두산2우B,"81,000","-900","-1.1","81,700","81,700","80,000","2,023","163,294,700","72,336,078,000","0.00","893,038"
,000180,성창기업지주,"1,930","-70","-3.5","2,025","2,030","1,915","542,918","1,066,241,710","134,620,588,000","0.01","69,751,600"
,000210,대림산업,"84,500","200","0.2","85,000","86,600","83,500","496,274","42,385,303,900","2,940,600,000,000","0.14","34,800,000"
,000215,대림산업우,"48,000","1,100","2.4","47,500","48,600","46,000","53,033","2,545,699,950","182,400,000,000","0.01","3,800,000"
,000220,유유제약,"14,250","-450","-3.1","14,850","14,850","14,150","105,065","1,515,267,150","101,713,835,250","0.00","7,137,813"
,000225,유유제약1우,"13,350","-550","-4.0","13,850","13,850","13,150","38,796","525,368,150","15,131,757,750","0.00","1,133,465"
,000227,유유제약2우B,"32,900","250","0.8","32,900","32,900","31,000","1,743","55,799,900","5,398,232,000","0.00","164,080"
,000230,일동홀딩스,"10,450","-600","-5.4","10,900","11,000","10,050","192,819","2,056,059,800","120,597,180,000","0.01","11,540,400"
,000240,한국테크놀로지그룹,"15,850","250","1.6","15,650","15,900","15,300","571,628","8,918,507,400","1,474,369,742,050","0.07","93,020,173"
,000250,삼천당제약,"55,300","-700","-1.2","56,400","56,600","55,000","243,993","13,622,551,900","1,259,072,667,300","0.06","22,768,041"
,000270,기아차,"59,000","-800","-1.3","59,800","60,300","58,300","1,948,846","115,597,323,400","23,916,437,473,000","1.12","405,363,347"
,000300,대유플러스,"830","-6","-0.7","840","858","825","1,535,767","1,290,490,045","95,108,400,220","0.00","114,588,434"
