,종목코드,종목명,현재가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,시가총액비중(%),상장주식수
,000020,동화약품,"18,400","250","1.4","18,150","18,700","17,450","357,550","6,576,874,650","513,939,048,000","0.03","27,931,470"
,000040,KR모터스,"1,005","37","3.8","970","1,010","969","1,914,498","1,895,610,212","92,119,323,090","0.00","91,661,018"
,000050,경방,"10,850","200","1.9","10,800","10,900","10,650","9,099","98,380,750","297,455,679,500","0.02","27,415,270"
,000060,메리츠화재,"14,650","150","1.0","14,550","14,800","14,450","243,633","3,576,217,000","1,665,412,000,000","0.09","113,680,000"
,000070,삼양홀딩스,"62,800","600","1.0","61,700","63,300","61,500","6,564","411,636,800","537,836,218,800","0.03","8,564,271"
,000075,삼양홀딩스우,"47,800","1,050","2.2","46,850","47,800","46,650","972","45,565,050","14,533,972,400","0.00","304,058"
,000080,하이트진로,"33,700","50","0.2","33,700","34,350","33,700","209,862","7,139,372,350","2,363,502,690,700","0.12","70,133,611"
,000087,하이트진로2우B,"20,500","50","0.2","20,500","20,800","20,450","1,694","34,895,500","23,167,829,000","0.00","1,130,138"
,000100,유한양행,"63,000","2,300","3.8","60,900","63,500","60,800","455,678","28,508,323,900","4,211,979,030,000","0.22","66,856,810"
,000105,유한양행우,"62,400","1,800","3.0","60,100","62,400","59,600","7,800","480,478,300","73,690,656,000","0.00","1,180,940"
,000120,CJ대한통운,"163,000","2,000","1.2","160,000","165,000","160,000","71,879","11,709,156,000","3,718,412,072,000","0.19","22,812,344"
,000140,하이트진로홀딩스,"15,200","400","2.7","14,850","15,200","14,850","7,587","114,588,900","352,742,828,000","0.02","23,206,765"
,000145,하이트진로홀딩스우,"14,950","0","0.0","15,500","15,500","14,950","870","13,018,450","7,038,609,500","0.00","470,810"
,000150,두산,"47,100","-250","-0.5","47,100","48,000","46,750","62,337","2,953,044,500","778,272,628,500","0.04","16,523,835"
,000155,두산우,"39,000","-100","-0.3","39,250","39,450","39,000","17,578","688,379,450","155,862,018,000","0.01","3,996,462"
,000157,두산2우B,"79,800","0","0.0","81,700","81,700","79,800","1,058","84,716,500","71,264,432,400","0.00","893,038"
,000180,성창기업지주,"1,930","70","3.8","1,885","1,955","1,865","3,773,326","7,233,763,110","134,620,588,000","0.01","69,751,600"
,000210,대림산업,"78,400","1,000","1.3","77,900","79,400","77,800","189,277","14,872,596,700","2,728,320,000,000","0.14","34,800,000"
,000215,대림산업우,"42,200","300","0.7","41,900","42,650","41,700","13,578","572,063,350","160,360,000,000","0.01","3,800,000"
,000220,유유제약,"14,450","550","4.0","14,050","14,750","13,900","341,496","4,905,840,550","103,141,397,850","0.01","7,137,813"
,000225,유유제약1우,"14,050","200","1.4","13,850","14,150","13,750","16,587","230,972,100","15,925,183,250","0.00","1,133,465"
,000227,유유제약2우B,"34,900","850","2.5","34,050","34,900","34,050","2,202","75,557,950","5,726,392,000","0.00","164,080"
