,종목코드,종목명,현재가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,시가총액비중(%),상장주식수
,000020,동화약품,"23,850","-450","-1.8","23,900","24,200","23,600","420,287","10,025,795,900","666,165,559,500","0.03","27,931,470"
,000040,KR모터스,"874","24","2.8","845","912","824","5,066,228","4,459,441,795","80,111,729,732","0.00","91,661,018"
,000050,경방,"10,800","-50","-0.5","10,850","10,950","10,700","19,586","211,308,800","296,084,916,000","0.02","27,415,270"
,000060,메리츠화재,"13,550","-150","-1.1","13,700","13,750","13,500","103,368","1,406,496,600","1,540,364,000,000","0.08","113,680,000"
,000070,삼양홀딩스,"61,800","-1,200","-1.9","62,500","63,600","61,500","14,196","882,103,800","529,271,947,800","0.03","8,564,271"
,000075,삼양홀딩스우,"48,100","-200","-0.4","48,500","48,500","47,700","108","5,194,400","14,625,189,800","0.00","304,058"
,000080,하이트진로,"38,500","-200","-0.5","38,650","38,800","37,750","383,338","14,618,662,100","2,700,144,023,500","0.14","70,133,611"
,000087,하이트진로2우B,"21,900","50","0.2","21,950","22,050","21,400","2,388","51,643,450","24,750,022,200","0.00","1,130,138"
,000100,유한양행,"63,600","-500","-0.8","64,000","64,300","63,500","192,009","12,234,833,700","4,252,093,116,000","0.22","66,856,810"
,000105,유한양행우,"63,600","-500","-0.8","63,700","64,800","63,200","5,846","372,538,800","75,107,784,000","0.00","1,180,940"
,000120,CJ대한통운,"180,500","-6,000","-3.2","193,000","193,500","177,000","252,777","45,765,758,000","4,117,628,092,000","0.21","22,812,344"
,000140,하이트진로홀딩스,"17,250","-50","-0.3","17,500","17,500","16,850","20,191","343,344,600","400,316,696,250","0.02","23,206,765"
,000145,하이트진로홀딩스우,"16,250","0","0.0","16,300","16,300","16,000","753","12,069,300","7,650,662,500","0.00","470,810"
,000150,두산,"47,700","200","0.4","47,500","47,700","46,550","56,203","2,641,585,650","788,186,929,500","0.04","16,523,835"
,000155,두산우,"39,750","-300","-0.8","39,850","40,000","39,550","20,957","833,995,500","158,859,364,500","0.01","3,996,462"
,000157,두산2우B,"85,300","800","1.0","84,500","86,000","83,700","1,710","145,297,500","76,176,141,400","0.00","893,038"
,000180,성창기업지주,"1,825","110","6.4","1,715","1,855","1,690","1,335,504","2,391,688,035","127,296,670,000","0.01","69,751,600"
,000210,대림산업,"76,600","-1,700","-2.2","78,200","78,300","76,200","271,138","20,862,623,500","2,665,680,000,000","0.14","34,800,000"
,000215,대림산업우,"40,250","-650","-1.6","40,700","41,300","40,000","14,692","591,779,350","152,950,000,000","0.01","3,800,000"
,000220,유유제약,"16,250","-350","-2.1","16,500","16,650","16,200","104,953","1,719,785,550","115,295,017,500","0.01","7,095,078"
,000225,유유제약1우,"15,050","50","0.3","15,000","15,250","14,800","25,889","389,757,000","17,058,648,250","0.00","1,133,465"
,000227,유유제약2우B,"35,000","1,600","4.8","33,700","35,000","33,550","3,495","120,536,850","5,742,800,000","0.00","164,080"
