,종목코드,종목명,현재가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,시가총액비중(%),상장주식수
,000020,동화약품,"21,000","2,400","12.9","22,150","24,150","21,000","18,110,748","421,698,722,750","586,560,870,000","0.03","27,931,470"
,000040,KR모터스,"1,135","85","8.1","1,055","1,150","1,055","5,912,409","6,546,306,450","104,035,255,430","0.00","91,661,018"
,000050,경방,"11,700","-150","-1.3","11,900","12,000","11,700","37,404","442,287,900","320,758,659,000","0.01","27,415,270"
,000060,메리츠화재,"15,500","-50","-0.3","15,600","15,650","15,350","272,404","4,224,698,650","1,762,040,000,000","0.08","113,680,000"
,000070,삼양홀딩스,"66,500","-700","-1.0","67,200","67,800","65,800","12,763","848,901,900","569,524,021,500","0.03","8,564,271"
,000075,삼양홀딩스우,"48,150","-50","-0.1","48,200","48,250","48,150","248","11,952,550","14,640,392,700","0.00","304,058"
,000080,하이트진로,"32,950","-550","-1.6","33,500","33,650","32,450","698,698","23,041,514,750","2,310,902,482,450","0.11","70,133,611"
,000087,하이트진로2우B,"20,800","-250","-1.2","21,150","21,150","20,800","9,394","196,287,600","23,506,870,400","0.00","1,130,138"
,000100,유한양행,"65,800","-300","-0.4","66,800","66,800","65,400","423,313","27,891,746,500","4,399,178,098,000","0.20","66,856,810"
,000105,유한양행우,"65,300","-1,100","-1.7","66,700","66,700","65,100","20,077","1,315,901,600","77,115,382,000","0.00","1,180,940"
,000120,CJ대한통운,"165,500","-3,500","-2.1","168,500","168,500","165,000","82,112","13,603,225,500","3,775,442,932,000","0.18","22,812,344"
,000140,하이트진로홀딩스,"15,150","50","0.3","15,100","15,250","14,900","31,176","468,010,600","351,582,489,750","0.02","23,206,765"
,000145,하이트진로홀딩스우,"15,500","0","0.0","15,500","15,700","15,500","1,279","20,038,100","7,297,555,000","0.00","470,810"
,000150,두산,"53,300","3,650","7.4","49,900","54,100","49,750","343,948","18,107,714,900","880,720,405,500","0.04","16,523,835"
,000155,두산우,"42,500","1,200","2.9","41,500","42,900","41,300","47,845","2,025,395,700","169,849,635,000","0.01","3,996,462"
,000157,두산2우B,"81,900","600","0.7","82,000","86,400","79,900","7,051","583,344,800","73,139,812,200","0.00","893,038"
,000180,성창기업지주,"2,000","65","3.4","1,950","2,000","1,930","381,367","746,802,750","139,503,200,000","0.01","69,751,600"
,000210,대림산업,"84,300","900","1.1","83,600","85,300","82,900","379,016","31,954,615,900","2,933,640,000,000","0.14","34,800,000"
,000215,대림산업우,"46,900","1,250","2.7","45,900","47,150","45,800","41,764","1,955,164,650","178,220,000,000","0.01","3,800,000"
,000220,유유제약,"14,700","-300","-2.0","15,050","15,150","14,600","92,240","1,359,048,900","104,925,851,100","0.00","7,137,813"
,000225,유유제약1우,"13,900","0","0.0","13,800","14,050","13,550","17,916","247,620,900","15,755,163,500","0.00","1,133,465"
,000227,유유제약2우B,"32,650","-300","-0.9","33,900","33,900","32,400","1,378","45,217,100","5,357,212,000","0.00","164,080"
,000230,일동홀딩스,"11,050","1,000","10.0","10,150","12,900","10,000","1,762,154","20,461,098,600","127,521,420,000","0.01","11,540,400"
,000240,한국테크놀로지그룹,"15,600","-100","-0.6","15,600","15,900","15,350","430,357","6,720,346,800","1,451,114,698,800","0.07","93,020,173"
,000250,삼천당제약,"56,000","-100","-0.2","56,100","56,700","54,600","406,110","22,555,299,100","1,275,010,296,000","0.06","22,768,041"
,000270,기아차,"59,800","500","0.8","59,700","59,900","58,700","2,044,604","121,380,026,300","24,240,728,150,600","1.13","405,363,347"
,000300,대유플러스,"836","18","2.2","820","838","820","1,221,827","1,016,472,175","95,795,930,824","0.00","114,588,434"
,000320,노루홀딩스,"9,660","70","0.7","9,650","9,700","9,600","14,777","142,390,750","128,392,518,660","0.01","13,291,151"
,000325,노루홀딩스우,"17,800","200","1.1","17,600","17,800","17,600","1,047","18,502,850","3,297,450,000","0.00","185,250"
,000370,한화손해보험,"3,605","565","18.6","3,070","3,860","3,065","23,181,584","82,946,477,600","420,843,788,575","0.02","116,738,915"
,000390,삼화페인트,"7,480","-340","-4.4","7,830","8,070","7,480","926,282","7,271,325,060","197,761,857,480","0.01","26,438,751"
,000400,롯데손해보험,"1,905","15","0.8","1,900","2,075","1,855","5,385,668","10,553,179,725","591,190,689,600","0.03","310,336,320"
,000430,대원강업,"3,995","20","0.5","3,980","4,000","3,950","261,164","1,036,728,225","247,690,000,000","0.01","62,000,000"
,000440,중앙에너비스,"8,280","30","0.4","8,400","8,400","8,240","45,182","375,177,770","51,560,636,400","0.00","6,227,130"
,000480,조선내화,"80,300","300","0.4","80,500","80,700","79,800","835","67,117,500","321,200,000,000","0.01","4,000,000"
,000490,대동공업,"6,960","200","3.0","6,890","7,020","6,830","423,623","2,939,557,270","165,148,341,600","0.01","23,728,210"
,000500,가온전선,"23,100","600","2.7","22,550","23,600","22,400","83,181","1,905,023,850","96,104,015,700","0.00","4,160,347"
,000520,삼일제약,"21,900","200","0.9","21,600","22,000","21,600","37,429","815,126,300","146,618,222,400","0.01","6,694,896"
,000540,흥국화재,"2,800","35","1.3","2,795","2,970","2,765","315,142","896,379,435","179,879,406,000","0.01","64,242,645"
,000545,흥국화재우,"14,850","200","1.4","14,750","15,500","14,350","175,473","2,613,094,150","11,404,800,000","0.00","768,000"
,000547,흥국화재2우B,"23,200","200","0.9","23,000","23,500","23,000","1,794","41,347,050","3,563,520,000","0.00","153,600"
,000590,CS홀딩스,"57,300","500","0.9","56,900","57,800","56,800","2,661","152,505,900","66,151,818,600","0.00","1,154,482"
,000640,동아쏘시오홀딩스,"134,000","-5,500","-3.9","140,500","141,500","133,000","58,203","7,895,187,500","822,532,870,000","0.04","6,138,305"
,000650,천일고속,"70,200","-100","-0.1","70,200","70,300","69,400","1,961","137,194,900","100,331,244,000","0.00","1,429,220"
