,종목코드,종목명,현재가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,시가총액비중(%),상장주식수
,000020,동화약품,"23,150","-900","-3.7","24,150","24,400","22,500","633,571","14,766,559,100","646,613,530,500","0.03","27,931,470"
,000040,KR모터스,"711","-18","-2.5","745","745","690","1,080,646","771,025,866","65,170,983,798","0.00","91,661,018"
,000050,경방,"10,350","-50","-0.5","10,500","10,500","10,050","30,315","310,558,200","283,748,044,500","0.01","27,415,270"
,000060,메리츠화재,"12,950","250","2.0","12,750","13,000","12,650","118,719","1,521,783,100","1,472,156,000,000","0.08","113,680,000"
,000070,삼양홀딩스,"62,400","200","0.3","62,100","63,700","62,000","8,108","508,514,600","534,410,510,400","0.03","8,564,271"
,000075,삼양홀딩스우,"47,350","1,350","2.9","47,900","47,900","45,500","558","25,591,600","14,397,146,300","0.00","304,058"
,000080,하이트진로,"34,900","0","0.0","34,850","35,550","33,400","519,029","17,894,443,050","2,447,663,023,900","0.13","70,133,611"
,000087,하이트진로2우B,"20,700","300","1.5","20,400","20,850","20,000","1,406","28,479,150","23,393,856,600","0.00","1,130,138"
,000100,유한양행,"64,900","-1,800","-2.7","67,400","68,000","64,000","860,678","56,496,296,200","4,339,006,969,000","0.23","66,856,810"
,000105,유한양행우,"65,600","-900","-1.4","67,200","67,500","63,200","16,159","1,061,673,200","77,469,664,000","0.00","1,180,940"
,000120,CJ대한통운,"169,500","1,000","0.6","170,000","174,500","166,500","104,907","17,789,361,000","3,866,692,308,000","0.20","22,812,344"
,000140,하이트진로홀딩스,"16,250","150","0.9","16,150","16,350","15,400","30,743","486,803,200","377,109,931,250","0.02","23,206,765"
,000145,하이트진로홀딩스우,"16,200","-50","-0.3","16,250","16,250","15,800","2,826","45,108,250","7,627,122,000","0.00","470,810"
,000150,두산,"46,300","-700","-1.5","47,200","47,450","45,850","51,868","2,407,939,100","765,053,560,500","0.04","16,523,835"
,000155,두산우,"38,900","-650","-1.6","39,600","40,300","38,350","40,524","1,581,127,450","155,462,371,800","0.01","3,996,462"
,000157,두산2우B,"83,500","-4,900","-5.5","86,100","89,500","82,400","23,892","2,028,016,700","74,568,673,000","0.00","893,038"
,000180,성창기업지주,"1,615","-35","-2.1","1,650","1,660","1,610","135,241","220,353,150","112,648,834,000","0.01","69,751,600"
,000210,대림산업,"78,200","-1,100","-1.4","79,700","80,200","77,500","307,785","24,172,666,300","2,721,360,000,000","0.14","34,800,000"
,000215,대림산업우,"41,000","250","0.6","41,100","41,150","39,100","39,026","1,566,822,050","155,800,000,000","0.01","3,800,000"
,000220,유유제약,"16,200","350","2.2","16,050","16,600","15,100","193,447","3,092,826,900","114,940,263,600","0.01","7,095,078"
,000225,유유제약1우,"15,450","300","2.0","15,500","15,650","14,400","35,118","527,378,450","17,512,034,250","0.00","1,133,465"
,000227,유유제약2우B,"36,750","50","0.1","37,450","37,450","35,400","1,648","60,291,100","6,029,940,000","0.00","164,080"
,000230,일동홀딩스,"9,170","-120","-1.3","9,290","9,500","9,100","9,963","92,164,040","105,825,468,000","0.01","11,540,400"
,000240,한국테크놀로지그룹,"16,650","-1,750","-9.5","17,700","18,500","16,550","2,505,621","43,486,844,150","1,548,785,880,450","0.08","93,020,173"
