,종목코드,종목명,현재가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,시가총액비중(%),상장주식수
,000020,동화약품,"20,950","-350","-1.6","20,850","21,100","20,850","20,428","427,164,250","585,164,296,500","0.03","27,931,470"
,000040,KR모터스,"1,020","-50","-4.7","1,015","1,040","998","2,159,092","2,183,704,063","93,494,238,360","0.00","91,661,018"
,000050,경방,"10,550","50","0.5","10,450","10,550","10,450","619","6,480,850","289,231,098,500","0.01","27,415,270"
,000060,메리츠화재,"14,050","-150","-1.1","14,100","14,150","14,050","13,853","195,066,650","1,597,204,000,000","0.08","113,680,000"
,000070,삼양홀딩스,"61,900","-100","-0.2","62,400","62,400","61,900","220","13,668,400","530,128,374,900","0.03","8,564,271"
,000075,삼양홀딩스우,"48,300","0","0.0","0","0","0","0","0","14,686,001,400","0.00","304,058"
,000080,하이트진로,"36,850","-650","-1.7","37,350","37,450","36,400","24,591","904,501,650","2,584,423,565,350","0.13","70,133,611"
,000087,하이트진로2우B,"21,900","-50","-0.2","21,950","21,950","21,450","85","1,838,100","24,750,022,200","0.00","1,130,138"
,000100,유한양행,"61,300","-400","-0.6","61,500","61,900","61,100","13,627","837,906,000","4,098,322,453,000","0.21","66,856,810"
,000105,유한양행우,"61,100","-400","-0.6","61,000","61,500","61,000","539","32,959,700","72,155,434,000","0.00","1,180,940"
,000120,CJ대한통운,"182,000","500","0.3","181,500","182,500","179,500","1,388","251,170,000","4,151,846,608,000","0.21","22,812,344"
,000140,하이트진로홀딩스,"16,800","0","0.0","17,200","17,200","16,800","229","3,857,700","389,873,652,000","0.02","23,206,765"
,000145,하이트진로홀딩스우,"15,800","0","0.0","15,800","15,800","15,800","101","1,595,800","7,438,798,000","0.00","470,810"
,000150,두산,"45,100","-350","-0.8","45,400","45,600","45,000","1,134","51,433,600","745,224,958,500","0.04","16,523,835"
,000155,두산우,"39,350","-200","-0.5","39,250","39,600","39,150","732","28,715,600","157,260,779,700","0.01","3,996,462"
,000157,두산2우B,"83,100","100","0.1","82,200","83,400","82,200","76","6,276,700","74,211,457,800","0.00","893,038"
,000180,성창기업지주,"1,960","230","13.3","1,910","1,980","1,890","1,885,750","3,653,444,180","136,713,136,000","0.01","69,751,600"
,000210,대림산업,"80,200","-600","-0.7","80,000","80,800","80,000","9,366","752,634,200","2,790,960,000,000","0.14","34,800,000"
,000215,대림산업우,"43,300","-150","-0.4","42,400","43,300","42,400","1,437","61,123,800","164,540,000,000","0.01","3,800,000"
,000220,유유제약,"14,150","-350","-2.4","14,350","14,400","14,100","26,597","379,907,600","101,000,053,950","0.01","7,137,813"
,000225,유유제약1우,"14,450","-300","-2.0","14,700","14,800","14,450","4,281","62,704,050","16,378,569,250","0.00","1,133,465"
,000227,유유제약2우B,"34,000","-200","-0.6","34,000","34,000","34,000","526","17,884,000","5,578,720,000","0.00","164,080"
,000230,일동홀딩스,"8,810","-40","-0.4","8,880","8,880","8,810","43","381,680","101,670,924,000","0.01","11,540,400"
,000240,한국테크놀로지그룹,"16,250","-150","-0.9","16,200","16,350","16,200","11,628","189,103,900","1,511,577,811,250","0.08","93,020,173"
,000250,삼천당제약,"52,000","500","1.0","50,500","52,000","50,500","37,746","1,932,314,900","1,183,938,132,000","0.06","22,768,041"
,000270,기아차,"44,650","-2,050","-4.4","43,150","45,000","43,150","842,211","37,038,070,450","18,099,473,443,550","0.93","405,363,347"
,000300,대유플러스,"812","-1","-0.1","811","818","806","37,140","30,119,258","93,045,808,408","0.00","114,588,434"
,000320,노루홀딩스,"9,060","-70","-0.8","9,060","9,060","9,060","31","280,860","120,417,828,060","0.01","13,291,151"
,000325,노루홀딩스우,"18,250","200","1.1","18,250","18,250","18,250","10","182,500","3,380,812,500","0.00","185,250"
,000370,한화손해보험,"2,800","15","0.5","2,785","2,810","2,770","6,071","16,977,050","326,868,962,000","0.02","116,738,915"
,000390,삼화페인트,"4,890","-20","-0.4","4,895","4,895","4,890","239","1,169,740","129,285,492,390","0.01","26,438,751"
,000400,롯데손해보험,"1,615","-10","-0.6","1,605","1,620","1,605","19,414","31,209,970","501,193,156,800","0.03","310,336,320"
,000430,대원강업,"4,010","-55","-1.4","4,000","4,010","3,925","31,264","124,482,845","248,620,000,000","0.01","62,000,000"
,000440,중앙에너비스,"8,020","-30","-0.4","8,090","8,090","8,020","333","2,677,450","49,941,582,600","0.00","6,227,130"
,000480,조선내화,"73,500","-100","-0.1","73,600","73,600","72,800","115","8,404,600","294,000,000,000","0.02","4,000,000"
,000490,대동공업,"7,010","90","1.3","6,890","7,010","6,870","46,187","321,371,300","166,334,752,100","0.01","23,728,210"
,000500,가온전선,"22,100","-200","-0.9","22,350","22,350","21,650","796","17,412,700","91,943,668,700","0.00","4,160,347"
,000520,삼일제약,"22,300","-200","-0.9","21,850","22,350","21,850","1,897","41,954,300","149,296,180,800","0.01","6,694,896"
,000540,흥국화재,"2,910","40","1.4","2,915","2,955","2,870","29,312","85,560,580","186,946,096,950","0.01","64,242,645"
,000545,흥국화재우,"22,750","3,850","20.4","22,650","23,000","21,300","205,587","4,598,404,800","17,472,000,000","0.00","768,000"
,000547,흥국화재2우B,"27,000","-1,000","-3.6","27,000","27,000","27,000","283","7,682,000","4,147,200,000","0.00","153,600"
,000590,CS홀딩스,"53,800","-500","-0.9","54,000","54,200","53,700","528","28,435,700","62,111,131,600","0.00","1,154,482"
,000640,동아쏘시오홀딩스,"114,500","-1,000","-0.9","114,500","115,500","114,500","421","48,504,500","702,835,922,500","0.04","6,138,305"
,000650,천일고속,"68,400","700","1.0","67,600","68,800","67,500","208","14,069,900","97,758,648,000","0.01","1,429,220"
,000660,SK하이닉스,"0","86,700","-100.0","0","0","0","44,089","3,822,516,300","0","0.00","728,002,365"
,000670,영풍,"498,500","-1,500","-0.3","503,000","503,000","494,500","30","14,941,000","918,256,940,000","0.05","1,842,040"
,000680,LS네트웍스,"2,060","-40","-1.9","2,060","2,095","2,060","1,382","2,846,955","162,334,212,960","0.01","78,803,016"
,000700,유수홀딩스,"5,330","-40","-0.7","5,370","5,410","5,330","250","1,343,430","138,802,857,960","0.01","26,041,812"
,000720,현대건설,"32,050","150","0.5","31,700","32,100","31,250","69,794","2,218,618,650","3,568,952,268,250","0.18","111,355,765"
,000725,현대건설우,"178,000","0","0.0","0","0","0","0","0","17,596,368,000","0.00","98,856"
,000760,이화산업,"14,750","300","2.1","14,400","14,750","14,400","10","145,000","41,300,000,000","0.00","2,800,000"
,000810,삼성화재,"185,500","-1,500","-0.8","185,500","186,500","185,000","2,288","424,618,000","8,788,032,263,500","0.45","47,374,837"
,000815,삼성화재우,"140,500","-500","-0.4","141,000","141,000","140,000","215","30,216,500","448,476,000,000","0.02","3,192,000"
,000850,화천기공,"30,650","0","0.0","30,850","30,850","30,650","48","1,479,150","67,430,000,000","0.00","2,200,000"
,000860,강남제비스코,"15,500","-100","-0.6","15,500","15,500","15,500","7","108,500","100,750,000,000","0.01","6,500,000"
,000880,한화,"25,300","150","0.6","24,950","25,300","24,950","13,216","330,894,450","1,896,455,995,500","0.10","74,958,735"
,000885,한화우,"44,700","-300","-0.7","44,700","44,700","44,700","232","10,370,400","21,424,441,800","0.00","479,294"
,00088K,한화3우B,"13,150","-50","-0.4","13,150","13,150","13,100","433","5,686,100","295,506,800,000","0.02","22,472,000"
,000890,보해양조,"849","0","0.0","837","855","837","131,245","110,825,624","108,204,517,677","0.01","127,449,373"
,000910,유니온,"7,230","-140","-1.9","7,300","7,330","7,070","21,986","159,302,490","112,872,005,370","0.01","15,611,619"
,000950,전방,"32,800","150","0.5","33,600","33,750","32,700","21,508","712,947,300","55,104,000,000","0.00","1,680,000"
,000970,한국주철관,"8,220","-70","-0.8","8,180","8,270","8,180","1,612","13,198,310","187,420,110,000","0.01","22,800,500"
,000990,DB하이텍,"35,200","-100","-0.3","34,950","35,300","34,850","41,935","1,466,919,650","1,562,830,297,600","0.08","44,398,588"
,000995,DB하이텍1우,"124,000","-3,000","-2.4","124,000","124,000","124,000","170","21,083,000","13,927,184,000","0.00","112,316"
,001000,신라섬유,"2,250","15","0.7","2,205","2,290","2,200","342,433","768,040,830","54,624,465,000","0.00","24,277,540"
,001020,페이퍼코리아,"1,785","-15","-0.8","1,795","1,795","1,770","951","1,695,690","62,771,809,800","0.00","35,166,280"
,001040,CJ,"80,500","-300","-0.4","80,300","80,700","80,300","1,820","146,508,300","2,348,748,339,000","0.12","29,176,998"
,001045,CJ우,"47,600","-300","-0.6","47,700","47,700","44,850","453","21,196,600","107,586,614,800","0.01","2,260,223"
,00104K,CJ4우(전환),"59,000","-200","-0.3","58,700","59,100","58,700","64","3,772,500","249,364,208,000","0.01","4,226,512"
,001060,JW중외제약,"32,150","-250","-0.8","31,750","32,150","31,750","9,737","310,027,350","672,579,736,100","0.03","20,920,054"
,001065,JW중외제약우,"53,700","-900","-1.6","53,700","53,700","53,700","11","590,700","9,255,785,700","0.00","172,361"
,001067,JW중외제약2우B,"65,500","-1,600","-2.4","65,500","65,500","65,500","136","8,911,200","5,919,497,000","0.00","90,374"
,001070,대한방직,"34,300","400","1.2","34,300","34,300","34,250","57","1,952,600","181,790,000,000","0.01","5,300,000"
,001080,만호제강,"15,000","-100","-0.7","14,850","15,000","14,850","50","742,650","62,250,000,000","0.00","4,150,000"
,001120,LG상사,"15,500","100","0.6","15,250","15,500","15,250","11,576","178,524,600","600,780,000,000","0.03","38,760,000"
,001130,대한제분,"151,500","-500","-0.3","152,000","152,000","151,000","42","6,373,500","256,035,000,000","0.01","1,690,000"
,001140,국보,"2,020","-65","-3.1","2,005","2,050","1,955","113,874","227,498,955","99,740,418,900","0.01","49,376,445"
,001200,유진투자증권,"3,670","-45","-1.2","3,635","3,690","3,635","14,222","51,926,205","355,499,754,060","0.02","96,866,418"
