,종목코드,종목명,현재가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,시가총액비중(%),상장주식수
,000020,동화약품,"19,150","-350","-1.8","19,550","19,650","19,050","854,958","16,454,990,100","534,887,650,500","0.03","27,931,470"
,000040,KR모터스,"1,380","95","7.4","1,290","1,400","1,240","7,710,186","10,343,988,575","126,492,204,840","0.01","91,661,018"
,000050,경방,"11,800","-100","-0.8","11,800","11,850","11,650","18,880","221,718,850","323,500,186,000","0.02","27,415,270"
,000060,메리츠화재,"14,450","-250","-1.7","14,700","14,850","14,450","479,550","7,009,146,950","1,743,031,250,000","0.08","120,625,000"
,000070,삼양홀딩스,"67,500","1,900","2.9","65,800","67,500","65,500","30,061","2,001,929,600","578,088,292,500","0.03","8,564,271"
,000075,삼양홀딩스우,"48,100","300","0.6","48,400","48,400","47,700","294","14,041,050","14,625,189,800","0.00","304,058"
,000080,하이트진로,"31,950","-500","-1.5","32,500","32,650","31,950","499,238","16,023,803,000","2,240,768,871,450","0.10","70,133,611"
,000087,하이트진로2우B,"20,650","-50","-0.2","20,600","20,800","20,400","5,389","110,792,400","23,337,349,700","0.00","1,130,138"
,000100,유한양행,"64,400","-1,000","-1.5","65,600","65,800","64,400","858,777","55,647,816,500","4,305,578,564,000","0.20","66,856,810"
,000105,유한양행우,"65,700","-100","-0.2","66,400","66,700","65,300","14,740","972,173,900","77,587,758,000","0.00","1,180,940"
,000120,CJ대한통운,"166,000","3,500","2.2","164,500","166,000","162,500","118,430","19,478,554,500","3,786,849,104,000","0.18","22,812,344"
,000140,하이트진로홀딩스,"15,800","-150","-0.9","15,900","16,100","15,700","21,003","333,570,700","366,666,887,000","0.02","23,206,765"
,000145,하이트진로홀딩스우,"15,300","0","0.0","15,000","15,450","15,000","361","5,457,350","7,203,393,000","0.00","470,810"
,000150,두산,"55,300","700","1.3","54,700","55,700","53,400","120,977","6,619,677,100","913,768,075,500","0.04","16,523,835"
,000155,두산우,"43,300","350","0.8","43,000","43,900","43,000","34,443","1,495,752,600","173,046,804,600","0.01","3,996,462"
,000157,두산2우B,"79,900","100","0.1","79,800","81,000","79,200","1,092","87,245,900","71,353,736,200","0.00","893,038"
,000180,성창기업지주,"2,020","50","2.5","1,970","2,060","1,970","1,333,012","2,694,528,985","140,898,232,000","0.01","69,751,600"
,000210,대림산업,"80,000","-4,200","-5.0","84,300","84,300","80,000","1,051,932","85,406,929,900","2,784,000,000,000","0.13","34,800,000"
,000215,대림산업우,"47,050","-1,450","-3.0","48,800","48,800","46,700","42,971","2,047,146,850","178,790,000,000","0.01","3,800,000"
,000220,유유제약,"14,750","300","2.1","14,500","14,900","14,300","119,670","1,757,762,550","105,282,741,750","0.00","7,137,813"
,000225,유유제약1우,"13,900","100","0.7","13,550","14,100","13,550","15,645","215,524,550","15,755,163,500","0.00","1,133,465"
