,종목코드,종목명,현재가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,시가총액비중(%),상장주식수
,000020,동화약품,"17,700","-400","-2.2","18,250","18,350","16,700","690,470","12,072,704,900","494,387,019,000","0.02","27,931,470"
,000040,KR모터스,"1,075","70","7.0","1,105","1,110","1,030","8,306,021","8,850,435,080","98,535,594,350","0.00","91,661,018"
,000050,경방,"11,250","100","0.9","11,200","11,350","11,050","37,999","426,439,800","308,421,787,500","0.02","27,415,270"
,000060,메리츠화재,"15,100","300","2.0","14,700","15,200","14,700","324,015","4,872,063,050","1,716,568,000,000","0.08","113,680,000"
,000070,삼양홀딩스,"64,300","0","0.0","64,000","65,000","63,700","15,043","966,577,200","550,682,625,300","0.03","8,564,271"
,000075,삼양홀딩스우,"47,800","0","0.0","47,800","47,900","47,800","239","11,429,000","14,533,972,400","0.00","304,058"
,000080,하이트진로,"34,650","-50","-0.1","34,700","35,100","34,600","232,801","8,094,930,400","2,430,129,621,150","0.12","70,133,611"
,000087,하이트진로2우B,"21,150","100","0.5","21,050","21,200","20,850","2,864","60,417,800","23,902,418,700","0.00","1,130,138"
,000100,유한양행,"64,400","-100","-0.2","64,400","65,000","64,100","297,905","19,196,922,000","4,305,578,564,000","0.21","66,856,810"
,000105,유한양행우,"63,400","-300","-0.5","63,800","64,700","63,100","9,073","577,067,700","74,871,596,000","0.00","1,180,940"
,000120,CJ대한통운,"158,000","2,500","1.6","155,500","158,000","155,500","86,741","13,612,209,000","3,604,350,352,000","0.18","22,812,344"
,000140,하이트진로홀딩스,"16,000","250","1.6","15,750","16,100","15,600","12,457","198,430,500","371,308,240,000","0.02","23,206,765"
,000145,하이트진로홀딩스우,"15,300","-100","-0.6","15,250","15,400","15,200","994","15,150,000","7,203,393,000","0.00","470,810"
,000150,두산,"50,300","700","1.4","50,000","50,900","49,000","100,100","4,998,745,550","831,148,900,500","0.04","16,523,835"
,000155,두산우,"40,950","250","0.6","40,500","40,950","40,200","23,163","939,547,800","163,655,118,900","0.01","3,996,462"
,000157,두산2우B,"80,500","200","0.2","80,400","80,800","79,700","1,353","108,413,100","71,889,559,000","0.00","893,038"
,000180,성창기업지주,"1,980","-5","-0.2","2,010","2,025","1,950","928,364","1,844,834,540","138,108,168,000","0.01","69,751,600"
,000210,대림산업,"83,800","1,600","2.0","82,100","84,100","81,100","454,752","37,751,905,000","2,916,240,000,000","0.14","34,800,000"
,000215,대림산업우,"44,350","1,000","2.3","43,400","44,350","43,300","27,038","1,186,374,200","168,530,000,000","0.01","3,800,000"
,000220,유유제약,"13,650","-250","-1.8","13,900","13,950","13,350","168,947","2,293,544,950","97,431,147,450","0.00","7,137,813"
,000225,유유제약1우,"13,450","-300","-2.2","13,650","13,750","13,300","21,001","282,960,600","15,245,104,250","0.00","1,133,465"
,000227,유유제약2우B,"33,000","700","2.2","32,550","33,000","32,500","1,308","42,885,950","5,414,640,000","0.00","164,080"
,000230,일동홀딩스,"9,510","60","0.6","9,460","9,550","9,400","9,519","90,050,470","109,749,204,000","0.01","11,540,400"
,000240,한국테크놀로지그룹,"15,850","-100","-0.6","16,050","16,100","15,600","405,918","6,414,188,850","1,474,369,742,050","0.07","93,020,173"
,000250,삼천당제약,"54,700","1,500","2.8","53,300","55,300","52,900","437,940","23,776,420,000","1,245,411,842,700","0.06","22,768,041"
,000270,기아차,"58,100","3,600","6.6","54,500","58,700","54,500","4,438,993","255,438,026,600","23,551,610,460,700","1.16","405,363,347"
,000300,대유플러스,"822","-12","-1.4","848","848","816","1,089,685","903,344,368","94,191,692,748","0.00","114,588,434"
,000320,노루홀딩스,"9,490","230","2.5","9,280","9,500","9,220","19,204","180,672,220","126,133,022,990","0.01","13,291,151"
,000325,노루홀딩스우,"17,900","-150","-0.8","18,150","18,150","17,900","280","5,013,100","3,315,975,000","0.00","185,250"
,000370,한화손해보험,"3,015","0","0.0","3,010","3,065","2,965","688,745","2,069,901,635","351,967,828,725","0.02","116,738,915"
,000390,삼화페인트,"5,130","0","0.0","5,140","5,160","5,100","25,182","128,993,590","135,630,792,630","0.01","26,438,751"
,000400,롯데손해보험,"1,820","70","4.0","1,765","1,820","1,745","2,352,686","4,215,640,285","564,812,102,400","0.03","310,336,320"
,000430,대원강업,"4,000","0","0.0","4,040","4,040","3,955","176,986","703,467,450","248,000,000,000","0.01","62,000,000"
,000440,중앙에너비스,"8,250","130","1.6","8,350","8,350","8,060","41,596","339,270,880","51,373,822,500","0.00","6,227,130"
,000480,조선내화,"76,600","500","0.7","76,000","77,000","75,700","1,662","127,201,600","306,400,000,000","0.02","4,000,000"
,000490,대동공업,"7,720","260","3.5","7,460","7,840","7,410","893,363","6,823,691,340","183,181,781,200","0.01","23,728,210"
,000500,가온전선,"22,050","-100","-0.4","22,150","22,400","21,850","10,088","223,412,750","91,735,651,350","0.00","4,160,347"
,000520,삼일제약,"21,350","-550","-2.5","21,900","21,900","21,250","52,600","1,127,850,400","142,936,029,600","0.01","6,694,896"
,000540,흥국화재,"2,865","95","3.4","2,785","2,880","2,770","138,063","391,049,935","184,055,177,925","0.01","64,242,645"
,000545,흥국화재우,"15,200","350","2.4","15,100","15,600","14,700","110,868","1,678,028,350","11,673,600,000","0.00","768,000"
,000547,흥국화재2우B,"23,450","0","0.0","23,350","23,650","23,350","860","20,248,700","3,601,920,000","0.00","153,600"
,000590,CS홀딩스,"58,100","-600","-1.0","58,700","58,700","57,400","1,975","114,389,600","67,075,404,200","0.00","1,154,482"
,000640,동아쏘시오홀딩스,"134,500","12,000","9.8","128,500","151,000","125,500","400,027","55,020,500,500","825,602,022,500","0.04","6,138,305"
,000650,천일고속,"67,600","100","0.2","66,900","68,000","66,100","4,154","278,056,700","96,615,272,000","0.00","1,429,220"
,000660,SK하이닉스,"87,000","500","0.6","86,100","87,200","85,900","2,638,617","229,019,677,500","63,336,205,755,000","3.11","728,002,365"
,000670,영풍,"520,000","3,000","0.6","517,000","522,000","512,000","1,528","790,791,000","957,860,800,000","0.05","1,842,040"
,000680,LS네트웍스,"2,170","20","0.9","2,145","2,175","2,145","34,812","75,292,435","171,002,544,720","0.01","78,803,016"
,000700,유수홀딩스,"5,410","10","0.2","5,400","5,420","5,210","29,503","156,897,170","140,886,202,920","0.01","26,041,812"
,000720,현대건설,"33,350","400","1.2","33,150","33,350","32,750","1,172,390","38,810,181,850","3,713,714,762,750","0.18","111,355,765"
,000725,현대건설우,"180,500","500","0.3","183,000","183,000","178,500","779","140,276,000","17,843,508,000","0.00","98,856"
,000760,이화산업,"15,150","50","0.3","15,050","15,600","14,650","9,519","144,141,550","42,420,000,000","0.00","2,800,000"
,000810,삼성화재,"196,000","1,000","0.5","194,000","202,000","194,000","213,081","42,010,564,000","9,285,468,052,000","0.46","47,374,837"
,000815,삼성화재우,"154,500","2,000","1.3","152,500","155,500","151,000","21,624","3,327,195,500","493,164,000,000","0.02","3,192,000"
,000850,화천기공,"31,750","500","1.6","31,500","31,750","31,050","3,867","121,678,650","69,850,000,000","0.00","2,200,000"
,000860,강남제비스코,"17,600","250","1.4","17,350","17,750","17,350","16,344","287,051,900","114,400,000,000","0.01","6,500,000"
,000880,한화,"26,750","350","1.3","26,400","27,000","26,200","654,511","17,376,255,200","2,005,146,161,250","0.10","74,958,735"
,000885,한화우,"48,700","-400","-0.8","49,900","49,900","48,550","2,810","137,649,600","23,341,617,800","0.00","479,294"
,00088K,한화3우B,"13,650","150","1.1","13,500","13,700","13,350","46,652","633,280,450","306,742,800,000","0.02","22,472,000"
,000890,보해양조,"911","25","2.8","888","957","877","11,614,011","10,714,698,451","116,106,378,803","0.01","127,449,373"
,000910,유니온,"6,380","-40","-0.6","6,440","6,560","6,280","1,486,622","9,534,742,240","99,602,129,220","0.00","15,611,619"
,000950,전방,"28,800","1,500","5.5","27,500","29,500","27,500","36,467","1,037,586,050","48,384,000,000","0.00","1,680,000"
,000970,한국주철관,"8,300","20","0.2","8,210","8,420","8,180","40,056","332,877,270","189,244,150,000","0.01","22,800,500"
,000990,DB하이텍,"34,300","150","0.4","34,000","34,900","33,700","482,004","16,598,008,600","1,522,871,568,400","0.07","44,398,588"
,000995,DB하이텍1우,"111,500","-2,000","-1.8","111,500","115,500","111,500","3,045","342,758,000","12,523,234,000","0.00","112,316"
,001000,신라섬유,"2,405","70","3.0","2,355","2,590","2,325","4,924,152","12,046,324,670","58,387,483,700","0.00","24,277,540"
,001020,페이퍼코리아,"1,660","10","0.6","1,640","1,675","1,625","58,468","96,578,070","58,376,024,800","0.00","35,166,280"
,001040,CJ,"82,500","2,700","3.4","79,800","82,500","79,800","185,526","15,131,748,800","2,407,102,335,000","0.12","29,176,998"
,001045,CJ우,"49,250","650","1.3","48,600","49,350","48,600","34,575","1,691,812,000","111,315,982,750","0.01","2,260,223"
