,종목코드,종목명,현재가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,시가총액비중(%),상장주식수
,000020,동화약품,"20,200","-100","-0.5","20,200","20,500","19,850","123,627","2,495,505,200","564,215,694,000","0.03","27,931,470"
,000040,KR모터스,"1,100","5","0.5","1,065","1,100","1,030","2,933,783","3,126,148,565","100,827,119,800","0.01","91,661,018"
,000050,경방,"10,700","200","1.9","10,550","10,800","10,550","7,293","77,918,300","293,343,389,000","0.02","27,415,270"
,000060,메리츠화재,"14,500","100","0.7","14,400","14,600","14,400","42,198","611,525,300","1,648,360,000,000","0.08","113,680,000"
,000070,삼양홀딩스,"61,600","400","0.6","60,600","61,600","60,600","2,839","173,682,400","527,559,093,600","0.03","8,564,271"
,000075,삼양홀딩스우,"48,100","0","0.0","48,100","48,100","48,100","44","2,116,400","14,625,189,800","0.00","304,058"
,000080,하이트진로,"37,400","200","0.5","37,000","37,450","36,900","27,918","1,039,449,400","2,622,997,051,400","0.14","70,133,611"
,000087,하이트진로2우B,"21,750","250","1.2","21,500","21,750","21,500","13","280,850","24,580,501,500","0.00","1,130,138"
,000100,유한양행,"60,400","-200","-0.3","60,700","61,000","60,000","54,075","3,271,605,200","4,038,151,324,000","0.21","66,856,810"
,000105,유한양행우,"60,700","200","0.3","60,500","60,900","60,500","493","29,865,600","71,683,058,000","0.00","1,180,940"
,000120,CJ대한통운,"182,000","-500","-0.3","182,000","184,000","180,500","7,487","1,365,698,500","4,151,846,608,000","0.21","22,812,344"
,000140,하이트진로홀딩스,"16,600","250","1.5","16,500","16,600","16,150","1,392","22,768,450","385,232,299,000","0.02","23,206,765"
,000145,하이트진로홀딩스우,"15,600","0","0.0","15,600","15,600","15,600","1","15,600","7,344,636,000","0.00","470,810"
,000150,두산,"46,500","200","0.4","46,850","46,850","46,300","6,866","319,174,100","768,358,327,500","0.04","16,523,835"
,000155,두산우,"39,850","-50","-0.1","39,600","40,050","39,600","3,434","136,813,050","159,259,010,700","0.01","3,996,462"
,000157,두산2우B,"82,000","700","0.9","81,300","82,200","81,100","57","4,639,500","73,229,116,000","0.00","893,038"
,000180,성창기업지주,"1,905","65","3.5","1,825","1,965","1,820","3,268,361","6,242,980,600","132,876,798,000","0.01","69,751,600"
,000210,대림산업,"79,900","-1,100","-1.4","80,500","80,800","79,300","64,727","5,175,130,200","2,780,520,000,000","0.14","34,800,000"
,000215,대림산업우,"43,700","50","0.1","43,500","44,400","43,200","1,045","45,831,150","166,060,000,000","0.01","3,800,000"
,000220,유유제약,"14,200","-50","-0.4","14,250","14,300","14,050","28,651","405,821,750","101,356,944,600","0.01","7,137,813"
,000225,유유제약1우,"14,700","-200","-1.3","15,050","15,100","14,700","6,217","92,484,100","16,661,935,500","0.00","1,133,465"
,000227,유유제약2우B,"34,000","0","0.0","34,000","34,000","34,000","217","7,378,000","5,578,720,000","0.00","164,080"
,000230,일동홀딩스,"8,880","-40","-0.4","8,930","9,060","8,830","749","6,660,330","102,478,752,000","0.01","11,540,400"
,000240,한국테크놀로지그룹,"17,300","950","5.8","16,350","17,300","16,350","923,310","15,732,587,350","1,609,248,992,900","0.08","93,020,173"
,000250,삼천당제약,"56,200","-400","-0.7","56,400","56,700","55,400","96,133","5,385,662,700","1,279,563,904,200","0.07","22,768,041"
,000270,기아차,"46,300","-550","-1.2","46,550","46,750","45,800","422,685","19,563,442,500","18,768,322,966,100","0.97","405,363,347"
,000300,대유플러스,"800","4","0.5","808","808","797","130,429","104,384,712","91,670,747,200","0.00","114,588,434"
,000320,노루홀딩스,"9,120","-10","-0.1","9,130","9,130","9,070","1,149","10,457,140","121,215,297,120","0.01","13,291,151"
,000325,노루홀딩스우,"18,250","150","0.8","18,250","18,250","18,250","2","36,500","3,380,812,500","0.00","185,250"
,000370,한화손해보험,"2,780","0","0.0","2,815","2,815","2,770","13,202","36,756,465","324,534,183,700","0.02","116,738,915"
,000390,삼화페인트,"4,880","-10","-0.2","4,910","4,920","4,860","6,577","32,076,450","129,021,104,880","0.01","26,438,751"
,000400,롯데손해보험,"1,620","-5","-0.3","1,625","1,630","1,605","20,119","32,568,865","502,744,838,400","0.03","310,336,320"
,000430,대원강업,"3,985","15","0.4","3,910","4,000","3,910","48,692","192,402,065","247,070,000,000","0.01","62,000,000"
,000440,중앙에너비스,"8,120","-80","-1.0","8,080","8,350","8,060","1,905","15,703,190","50,564,295,600","0.00","6,227,130"
,000480,조선내화,"73,600","0","0.0","73,600","73,800","73,300","119","8,745,100","294,400,000,000","0.02","4,000,000"
,000490,대동공업,"6,930","30","0.4","6,890","7,010","6,870","45,323","314,438,060","164,436,495,300","0.01","23,728,210"
,000500,가온전선,"21,800","-150","-0.7","22,300","22,300","21,700","1,671","36,540,900","90,695,564,600","0.00","4,160,347"
,000520,삼일제약,"23,150","500","2.2","22,800","23,200","22,400","26,672","611,079,900","154,986,842,400","0.01","6,694,896"
