,종목코드,종목명,현재가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,시가총액비중(%),상장주식수
,000020,동화약품,"18,850","-100","-0.5","19,950","20,000","18,600","358,435","6,960,269,950","526,508,209,500","0.03","27,931,470"
,000040,KR모터스,"978","2","0.2","976","978","942","248,643","241,084,941","89,644,475,604","0.00","91,661,018"
,000050,경방,"11,150","-50","-0.4","11,250","11,300","11,100","5,213","58,430,600","305,680,260,500","0.02","27,415,270"
,000060,메리츠화재,"14,400","200","1.4","14,400","14,450","14,150","72,478","1,038,651,150","1,636,992,000,000","0.08","113,680,000"
,000070,삼양홀딩스,"63,700","-500","-0.8","64,300","64,300","63,400","2,634","168,311,800","545,544,062,700","0.03","8,564,271"
,000075,삼양홀딩스우,"47,500","-450","-0.9","47,500","47,500","47,500","50","2,375,000","14,442,755,000","0.00","304,058"
,000080,하이트진로,"34,850","200","0.6","35,100","35,250","34,650","75,511","2,641,571,650","2,444,156,343,350","0.12","70,133,611"
,000087,하이트진로2우B,"20,900","0","0.0","21,250","21,250","20,900","173","3,665,900","23,619,884,200","0.00","1,130,138"
,000100,유한양행,"64,700","-300","-0.5","66,000","66,000","64,000","105,826","6,875,531,000","4,325,635,607,000","0.22","66,856,810"
,000105,유한양행우,"64,100","200","0.3","64,800","64,800","63,200","2,980","189,973,600","75,698,254,000","0.00","1,180,940"
,000120,CJ대한통운,"159,000","-3,000","-1.8","161,000","161,500","159,000","25,344","4,055,474,000","3,627,162,696,000","0.18","22,812,344"
,000140,하이트진로홀딩스,"15,900","200","1.3","15,950","16,100","15,750","2,774","44,255,450","368,987,563,500","0.02","23,206,765"
,000145,하이트진로홀딩스우,"15,350","-50","-0.3","15,350","15,350","15,350","76","1,166,600","7,226,933,500","0.00","470,810"
,000150,두산,"48,200","-100","-0.2","48,850","48,850","47,600","19,344","928,642,100","796,448,847,000","0.04","16,523,835"
,000155,두산우,"40,350","50","0.1","40,400","41,000","40,300","6,672","269,888,550","161,257,241,700","0.01","3,996,462"
,000157,두산2우B,"81,000","100","0.1","80,900","81,000","79,800","190","15,228,300","72,336,078,000","0.00","893,038"
,000180,성창기업지주,"2,020","-30","-1.5","2,045","2,045","1,985","349,816","705,567,290","140,898,232,000","0.01","69,751,600"
,000210,대림산업,"81,700","200","0.2","82,400","83,000","81,200","169,848","13,927,592,300","2,843,160,000,000","0.14","34,800,000"
,000215,대림산업우,"43,000","100","0.2","43,200","43,400","42,600","4,576","196,765,000","163,400,000,000","0.01","3,800,000"
,000220,유유제약,"14,000","-350","-2.4","14,350","14,350","13,900","31,526","442,961,250","99,929,382,000","0.00","7,137,813"
,000225,유유제약1우,"13,700","-250","-1.8","14,100","14,100","13,700","4,740","65,349,650","15,528,470,500","0.00","1,133,465"
,000227,유유제약2우B,"33,750","-350","-1.0","33,800","33,800","33,750","540","18,240,600","5,537,700,000","0.00","164,080"
,000230,일동홀딩스,"9,400","-30","-0.3","9,470","9,470","9,390","4,949","46,744,940","108,479,760,000","0.01","11,540,400"
,000240,한국테크놀로지그룹,"15,600","-150","-1.0","15,800","15,850","15,550","55,251","864,740,750","1,451,114,698,800","0.07","93,020,173"
,000250,삼천당제약,"53,200","-500","-0.9","53,800","54,100","53,000","50,702","2,704,702,000","1,211,259,781,200","0.06","22,768,041"
,000270,기아차,"52,500","200","0.4","52,900","52,900","52,000","492,222","25,815,359,400","21,281,575,717,500","1.06","405,363,347"
,000300,대유플러스,"835","-11","-1.3","850","851","827","265,882","222,339,414","95,681,342,390","0.00","114,588,434"
,000320,노루홀딩스,"9,260","20","0.2","9,270","9,280","9,220","357","3,304,340","123,076,058,260","0.01","13,291,151"
,000325,노루홀딩스우,"18,150","-150","-0.8","18,200","18,200","18,150","56","1,016,500","3,362,287,500","0.00","185,250"
,000370,한화손해보험,"2,945","95","3.3","2,900","2,960","2,865","236,770","692,933,195","343,796,104,675","0.02","116,738,915"
,000390,삼화페인트,"5,120","20","0.4","5,090","5,140","5,090","9,289","47,544,280","135,366,405,120","0.01","26,438,751"
,000400,롯데손해보험,"1,725","5","0.3","1,730","1,735","1,710","166,298","287,128,830","535,330,152,000","0.03","310,336,320"
,000430,대원강업,"4,000","-30","-0.7","4,030","4,030","3,985","15,580","62,396,065","248,000,000,000","0.01","62,000,000"
,000440,중앙에너비스,"8,530","530","6.6","8,400","9,490","8,120","286,598","2,546,908,110","53,117,418,900","0.00","6,227,130"
,000480,조선내화,"75,500","-300","-0.4","75,900","75,900","75,300","85","6,410,800","302,000,000,000","0.02","4,000,000"
,000490,대동공업,"7,410","20","0.3","7,430","7,430","7,250","65,719","482,899,590","175,826,036,100","0.01","23,728,210"
,000500,가온전선,"22,150","-350","-1.6","22,500","22,500","21,700","1,672","36,877,700","92,151,686,050","0.00","4,160,347"
,000520,삼일제약,"21,850","-650","-2.9","22,500","22,500","21,700","17,814","393,052,550","146,283,477,600","0.01","6,694,896"
,000540,흥국화재,"2,745","25","0.9","2,750","2,750","2,715","3,449","9,404,065","176,346,060,525","0.01","64,242,645"
,000545,흥국화재우,"15,300","-100","-0.6","15,600","15,900","15,050","25,228","388,180,100","11,750,400,000","0.00","768,000"
,000547,흥국화재2우B,"23,350","300","1.3","23,350","23,350","23,350","3","70,050","3,586,560,000","0.00","153,600"
,000590,CS홀딩스,"57,700","400","0.7","57,400","57,800","57,200","436","25,094,300","66,613,611,400","0.00","1,154,482"
