,종목코드,종목명,현재가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,시가총액비중(%),상장주식수
,000020,동화약품,"18,750","500","2.7","18,300","18,900","18,250","273,054","5,094,891,900","523,715,062,500","0.03","27,931,470"
,000040,KR모터스,"976","-5","-0.5","990","998","975","1,418,743","1,394,883,228","89,461,153,568","0.00","91,661,018"
,000050,경방,"10,900","-50","-0.5","10,900","10,950","10,800","9,898","107,360,850","298,826,443,000","0.02","27,415,270"
,000060,메리츠화재,"14,550","250","1.8","14,500","14,650","14,400","120,413","1,752,910,900","1,654,044,000,000","0.08","113,680,000"
,000070,삼양홀딩스,"63,900","1,100","1.8","62,600","64,100","62,600","15,698","996,610,000","547,256,916,900","0.03","8,564,271"
,000075,삼양홀딩스우,"47,650","-550","-1.1","48,300","48,300","47,650","288","13,812,750","14,488,363,700","0.00","304,058"
,000080,하이트진로,"35,150","350","1.0","34,700","35,250","34,700","192,602","6,742,356,550","2,465,196,426,650","0.12","70,133,611"
,000087,하이트진로2우B,"20,950","-50","-0.2","21,200","21,200","20,850","1,519","31,807,300","23,676,391,100","0.00","1,130,138"
,000100,유한양행,"64,800","700","1.1","64,300","64,900","63,700","326,429","21,079,462,000","4,332,321,288,000","0.22","66,856,810"
,000105,유한양행우,"63,300","900","1.4","62,400","63,300","62,400","9,265","583,562,000","74,753,502,000","0.00","1,180,940"
,000120,CJ대한통운,"166,000","4,000","2.5","163,000","166,000","162,000","89,516","14,677,479,500","3,786,849,104,000","0.19","22,812,344"
,000140,하이트진로홀딩스,"15,600","100","0.6","15,600","15,750","15,500","9,526","148,463,950","362,025,534,000","0.02","23,206,765"
,000145,하이트진로홀딩스우,"15,200","100","0.7","13,000","15,300","13,000","2,694","37,183,850","7,156,312,000","0.00","470,810"
,000150,두산,"46,950","500","1.1","46,800","47,800","46,400","62,260","2,922,758,800","775,794,053,250","0.04","16,523,835"
,000155,두산우,"39,600","550","1.4","39,150","39,700","39,000","15,662","618,102,300","158,259,895,200","0.01","3,996,462"
,000157,두산2우B,"80,500","-400","-0.5","81,300","81,300","80,100","1,158","93,205,000","71,889,559,000","0.00","893,038"
,000180,성창기업지주,"1,870","60","3.3","1,925","1,965","1,870","1,514,634","2,897,540,355","130,435,492,000","0.01","69,751,600"
,000210,대림산업,"79,000","900","1.2","78,800","79,200","78,400","157,687","12,439,480,600","2,749,200,000,000","0.14","34,800,000"
,000215,대림산업우,"41,950","750","1.8","41,300","42,000","40,900","29,599","1,223,301,950","159,410,000,000","0.01","3,800,000"
,000220,유유제약,"14,500","450","3.2","14,150","14,650","14,050","161,391","2,333,172,500","103,498,288,500","0.01","7,137,813"
