,종목코드,종목명,현재가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,시가총액비중(%),상장주식수
,000020,동화약품,"18,800","50","0.3","18,850","18,850","18,750","12,887","242,498,200","525,111,636,000","0.03","27,931,470"
,000040,KR모터스,"1,000","-40","-3.8","1,010","1,010","997","126,332","127,163,125","91,661,018,000","0.00","91,661,018"
,000050,경방,"12,050","250","2.1","12,100","12,100","12,000","1,640","19,805,800","330,354,003,500","0.02","27,415,270"
,000060,메리츠화재,"15,400","150","1.0","15,400","15,400","15,400","2,671","41,133,400","1,750,672,000,000","0.08","113,680,000"
,000070,삼양홀딩스,"66,600","600","0.9","67,200","67,200","66,600","1,294","86,814,700","570,380,448,600","0.03","8,564,271"
,000075,삼양홀딩스우,"47,800","0","0.0","47,800","47,800","47,800","100","4,780,000","14,533,972,400","0.00","304,058"
,000080,하이트진로,"34,250","50","0.2","34,250","34,250","34,200","4,894","167,614,150","2,402,076,176,750","0.12","70,133,611"
,000087,하이트진로2우B,"21,350","100","0.5","21,350","21,350","21,350","10","213,500","24,128,446,300","0.00","1,130,138"
,000100,유한양행,"63,200","-300","-0.5","63,300","63,300","63,200","8,225","520,503,700","4,225,350,392,000","0.20","66,856,810"
,000105,유한양행우,"63,500","500","0.8","63,500","63,500","63,500","46","2,921,000","74,989,690,000","0.00","1,180,940"
,000120,CJ대한통운,"159,000","-500","-0.3","159,500","160,000","159,000","1,773","282,751,500","3,627,162,696,000","0.17","22,812,344"
,000140,하이트진로홀딩스,"16,000","0","0.0","16,000","16,000","15,900","16","255,900","371,308,240,000","0.02","23,206,765"
,000145,하이트진로홀딩스우,"15,200","50","0.3","15,200","15,200","15,200","10","152,000","7,156,312,000","0.00","470,810"
,000150,두산,"49,550","350","0.7","49,750","49,750","49,500","1,412","70,188,350","818,756,024,250","0.04","16,523,835"
,000155,두산우,"40,850","50","0.1","41,100","41,900","40,800","1,507","62,234,900","163,255,472,700","0.01","3,996,462"
,000157,두산2우B,"81,100","600","0.8","81,100","81,100","81,100","10","811,000","72,425,381,800","0.00","893,038"
,000180,성창기업지주,"2,020","35","1.8","2,020","2,020","2,015","20,359","41,124,220","140,898,232,000","0.01","69,751,600"
,000210,대림산업,"82,700","-400","-0.5","83,000","83,000","82,700","3,689","306,016,300","2,877,960,000,000","0.14","34,800,000"
,000215,대림산업우,"44,550","550","1.2","44,550","44,550","44,550","135","6,014,250","169,290,000,000","0.01","3,800,000"
,000220,유유제약,"14,150","0","0.0","14,150","14,200","14,150","1,136","16,075,200","101,000,053,950","0.00","7,137,813"
,000225,유유제약1우,"13,000","-150","-1.1","13,000","13,000","13,000","674","8,762,000","14,735,045,000","0.00","1,133,465"
,000227,유유제약2우B,"32,850","300","0.9","32,850","32,850","32,850","10","328,500","5,390,028,000","0.00","164,080"
,000230,일동홀딩스,"9,410","190","2.1","9,440","9,440","9,410","17","160,440","108,595,164,000","0.01","11,540,400"
,000240,한국테크놀로지그룹,"16,050","100","0.6","16,100","16,100","16,000","3,680","59,138,200","1,492,973,776,650","0.07","93,020,173"
,000250,삼천당제약,"55,100","-400","-0.7","55,000","55,200","54,900","2,825","155,437,900","1,254,519,059,100","0.06","22,768,041"
,000270,기아차,"59,000","-700","-1.2","58,900","59,000","58,800","87,382","5,148,136,600","23,916,437,473,000","1.15","405,363,347"
